,County Code,District Code,School Code,School Name,Charter School,DASS,ChronicAbsenteeismRate
2290,44,69799.0,4430245,Diamond Technology Institute,Yes,No ,16.1
2291,44,69799.0,4430518,Aptos High,No ,No ,25.9
2292,44,69799.0,4437901,Watsonville High,No ,No ,19.6
2298,44,69807.0,4436754,San Lorenzo Valley High,No ,No ,25.8
2299,44,69823.0,4430096,Ark Independent Studies,No ,No ,32.3
2300,44,69823.0,4430187,Delta Charter,Yes,No ,43.7
2302,44,69823.0,4432340,Harbor High,No ,No ,23.4
2303,44,69823.0,4437109,Santa Cruz High,No ,No ,18.0
2304,44,69823.0,4437406,Soquel High,No ,No ,18.0
2307,44,75432.0,4430211,Scotts Valley High,No ,No ,11.3
2310,45,10454.0,4530150,Shasta County Juvenile Court,No ,Yes,6.5
2311,45,69856.0,4530028,West Valley Early College High,No ,No ,25.3
2312,45,69856.0,4530051,Oakview High (Alternative),No ,No ,60.0
2314,45,69856.0,4530804,Anderson High,No ,No ,26.4
2315,45,69856.0,4530192,Anderson Community Day,No ,Yes,100.0
2324,45,69989.0,4530010,Mountain View High (Continuation),No ,Yes,95.5
2331,45,70136.0,4530044,Foothill High,No ,No ,18.1
2332,45,70136.0,4530267,Shasta Charter Academy,Yes,No ,0.0
2333,45,70136.0,4530309,Shasta Collegiate Academy,No ,No ,49.2
2334,45,70136.0,4532750,Enterprise High,No ,No ,25.2
2335,45,70136.0,4537304,Shasta High,No ,No ,17.6
2336,45,70136.0,4530200,Pioneer Continuation High,No ,Yes,71.0
2338,45,75267.0,4531901,Central Valley High,No ,No ,24.6
2347,47,70250.0,4732707,Dunsmuir High,No ,No ,52.4
2348,47,70466.0,4734356,Happy Camp High,No ,No ,55.8
2349,47,70466.0,4734901,McCloud High,No ,No ,*
2350,47,70466.0,4735403,Mount Shasta High,No ,No ,31.0
2351,47,70466.0,4738753,Weed High,No ,No ,35.2
2353,47,70516.0,4739207,Yreka High,No ,No ,25.6
2355,47,73684.0,4731253,Butte Valley High,No ,No ,10.1
2356,47,76455.0,4733309,Etna Union High,No ,No ,19.0
2359,48,10488.0,4830071,Solano County Juvenile Detention Facility - Evergreen Academy,No ,Yes,0.0
2362,48,70524.0,4831004,Benicia High,No ,No ,15.2
2364,48,70532.0,4832259,Dixon High,No ,No ,15.0
2367,48,70540.0,4830170,Angelo Rodriguez High,No ,No ,19.2
2368,48,70540.0,4830451,Armijo High,No ,No ,24.7
2369,48,70540.0,4833000,Fairfield High,No ,No ,22.5
2372,48,70565.0,4838801,Vanden High,No ,No ,21.2
2376,48,70573.0,4830089,Will C. Wood High,No ,No ,10.1
2377,48,70573.0,4830113,Buckingham Collegiate Charter Academy,Yes,No ,10.5
2378,48,70573.0,4837803,Vacaville High,No ,No ,8.4
2379,48,70573.0,0141150,Shereene Wilkerson Academy of Excellence,No ,Yes,*
2380,48,70581.0,0139816,Griffin Academy High,Yes,No ,30.6
2381,48,70581.0,4830147,Jesse M. Bethel High,No ,No ,36.5
2382,48,70581.0,4830196,MIT Academy,Yes,No ,28.0
2389,49,70607.0,4930400,Analy High,No ,No ,24.7
2391,49,70656.0,4930855,Cloverdale High,No ,No ,36.0
2401,49,70862.0,4930012,Casa Grande High,No ,No ,18.8
2403,49,70862.0,4935151,Petaluma High,No ,No ,14.5
2405,49,70862.0,4930111,Sonoma Mountain High (Necessary Small School),No ,Yes,71.0
2409,49,70920.0,4930160,Elsie Allen High,No ,No ,37.5
2410,49,70920.0,4930244,Maria Carrillo High,No ,No ,16.8
2411,49,70920.0,4934154,Montgomery High,No ,No ,25.1
2412,49,70920.0,4935292,Piner High,No ,No ,31.8
2413,49,70920.0,4936803,Santa Rosa High,No ,No ,24.1
2416,49,70953.0,4937256,Sonoma Valley High,No ,No ,15.5
2419,49,73882.0,0123786,Credo High,Yes,No ,13.8
2420,49,73882.0,4930384,Technology High,No ,No ,6.9
2421,49,73882.0,4935482,Rancho Cotate High,No ,No ,23.2
2423,49,75358.0,0138263,Big Picture Learning Windsor,No ,No ,0.0
2425,49,75358.0,4930228,Windsor High,No ,No ,11.6
2427,49,75390.0,4932554,Healdsburg High,No ,No ,32.2
2434,50,71043.0,0107136,Whitmore Charter High,Yes,No ,1.9
2435,50,71043.0,0108076,Central Valley High,No ,No ,14.8
2437,50,71043.0,5030168,Endeavor Alternative,No ,No ,12.1
2438,50,71043.0,5030879,Ceres High,No ,No ,14.4
2441,50,71068.0,5031521,Denair High,No ,No ,27.7
2446,50,71175.0,0110593,James C. Enochs High,No ,No ,12.8
2448,50,71175.0,0121129,Joseph A. Gregori High,No ,No ,18.7
2449,50,71175.0,5030010,Fred C. Beyer High,No ,No ,18.7
2450,50,71175.0,5030135,Peter Johansen High,No ,No ,32.3
2451,50,71175.0,5031380,Grace M. Davis High,No ,No ,26.6
2452,50,71175.0,5031802,Thomas Downey High,No ,No ,25.5
2453,50,71175.0,5034905,Modesto High,No ,No ,28.7
2457,50,71217.0,5036256,Patterson High,No ,No ,18.4
2460,50,73601.0,5035902,Orestimba High,No ,No ,22.4
2463,50,75549.0,5032651,Hughson High,No ,No ,14.4
2466,50,75556.0,5036850,Riverbank High,No ,No ,22.1
2469,50,75564.0,5030192,Valley Oak Online Learning Academy,No ,No ,46.3
2470,50,75564.0,5035654,Oakdale High,No ,No ,16.2
2472,50,75572.0,5030259,Waterford High,No ,No ,19.8
2476,50,75739.0,5030283,John H. Pitman High,No ,No ,21.7
2477,50,75739.0,5037700,Turlock High,No ,No ,22.9
2481,51,10512.0,0114207,Feather River Academy,No ,Yes,90.7
2484,51,71373.0,5132758,East Nicolaus High,No ,No ,16.6
2486,51,71399.0,5135256,Live Oak High,No ,No ,15.9
2491,51,71449.0,5137500,Sutter Union High,No ,No ,17.3
2494,51,71464.0,0107722,River Valley High,No ,No ,17.1
2497,51,71464.0,5139001,Yuba City High,No ,No ,21.6
2502,52,71506.0,0137414,Corning Independent Study,No ,No ,60.0
2503,52,71506.0,5231709,Corning High,No ,No ,13.5
2504,52,71506.0,5231675,Centennial Continuation High,No ,Yes,79.8
2506,52,71571.0,5235106,Los Molinos High,No ,No ,19.3
2507,52,71639.0,5237201,Red Bluff High,No ,No ,18.2
2508,52,71639.0,5237151,Salisbury High (Continuation),No ,Yes,85.0
2509,53,10538.0,0125633,California Heritage Youthbuild Academy II,Yes,Yes,91.1
2512,53,75028.0,5337407,Hayfork High,No ,No ,10.2
2513,53,75028.0,5330022,Valley High,No ,Yes,100.0
2514,53,76513.0,5337456,Trinity High,No ,No ,29.5
2516,54,10546.0,0119602,University Preparatory High,Yes,No ,3.1
2520,54,10546.0,5430061,Tulare County Court,No ,Yes,0.0
2524,54,71803.0,5430301,Alpaugh -Senior High,No ,No ,13.1
2527,54,71860.0,5433230,Orosi High,No ,No ,12.7
2531,54,71993.0,0124776,Loma Vista Charter,Yes,No ,83.8
2532,54,71993.0,5432414,Lindsay Senior High,No ,No ,17.1
2535,54,72140.0,0136507,Crescent Valley Public Charter II,Yes,Yes,50.1
2536,54,72249.0,0116368,Mission Oak High,No ,No ,10.8
2537,54,72249.0,0130708,Sierra Vista Charter High,Yes,No ,39.9
2538,54,72249.0,5435409,Tulare Union High,No ,No ,13.0
2539,54,72249.0,5435466,Tulare Western High,No ,No ,12.4
2540,54,72249.0,0107649,Countryside Community Day,No ,Yes,75.9
2542,54,72249.0,5430145,Tulare Technical Preparatory High,No ,Yes,88.6
2543,54,72256.0,0109751,Visalia Charter Independent Study,Yes,No ,17.1
2544,54,72256.0,0120659,Visalia Technical Early College,Yes,No ,11.1
2545,54,72256.0,5430046,Golden West High,No ,No ,18.4
2546,54,72256.0,5430368,El Diamante High,No ,No ,18.2
2547,54,72256.0,5432828,Mt. Whitney High,No ,No ,18.4
2548,54,72256.0,5434527,Redwood High,No ,No ,11.3
2551,54,75325.0,5430210,Farmersville High,No ,No ,12.2
2554,54,75523.0,0116590,Harmony Magnet Academy,Yes,No ,10.0
2556,54,75523.0,5430251,Granite Hills High,No ,No ,21.4
2557,54,75523.0,5432786,Monache High,No ,No ,19.2
2558,54,75523.0,5434113,Porterville High,No ,No ,18.9
2559,54,75523.0,5434931,Strathmore High,No ,No ,18.6
2563,54,75531.0,5431184,Dinuba High,No ,No ,15.4
2565,54,76794.0,5436282,Woodlake High,No ,No ,15.6
2568,54,76836.0,5431598,Exeter Union High,No ,No ,14.5
2575,55,72389.0,5530043,Theodore Bird High,No ,No ,60.6
2576,55,72389.0,5536503,Sonora High,No ,No ,26.7
2583,55,72413.0,5536750,Summerville High,No ,No ,22.3
2585,55,75184.0,5530076,Tioga High,No ,No ,48.1
2586,55,75184.0,5530084,Don Pedro High,No ,No ,0.0
2588,56,10561.0,0109900,Vista Real Charter High,Yes,Yes,65.3
2591,56,10561.0,5630223,Providence,No ,Yes,1.4
2595,56,72454.0,5632021,Fillmore Senior High,No ,No ,15.9
2600,56,72520.0,5634076,Nordhoff High,No ,No ,18.7
2603,56,72546.0,0120634,"Architecture, Construction & Engineering Charter High (ACE)",Yes,No ,19.2
2604,56,72546.0,0125674,Condor High,No ,No ,47.9
2605,56,72546.0,0131698,Rancho Campana High,No ,No ,8.3
2606,56,72546.0,0136804,Oxnard Middle College High,No ,No ,3.1
2609,56,72546.0,5630389,Pacifica High,No ,No ,25.5
2610,56,72546.0,5631619,Adolfo Camarillo High,No ,No ,16.9
2611,56,72546.0,5631742,Channel Islands High,No ,No ,27.8
2612,56,72546.0,5632849,Hueneme High,No ,No ,30.1
2613,56,72546.0,5634548,Oxnard High,No ,No ,23.5
2614,56,72546.0,5634761,Rio Mesa High,No ,No ,21.7
2618,56,72603.0,5630322,Santa Susana High,No ,No ,15.8
2619,56,72603.0,5635008,Royal High,No ,No ,19.0
2620,56,72603.0,5636188,Simi Valley High,No ,No ,16.9
2622,56,72652.0,5630298,El Camino High,No ,No ,13.5
2623,56,72652.0,5630348,Foothill Technology High,No ,No ,8.7
2624,56,72652.0,5630793,Buena High,No ,No ,15.2
2625,56,72652.0,5637822,Ventura High,No ,No ,17.1
2628,56,73759.0,5630116,Westlake High,No ,No ,16.9
2629,56,73759.0,5633748,Newbury Park High,No ,No ,13.1
2630,56,73759.0,5637004,Thousand Oaks High,No ,No ,16.9
2632,56,73874.0,5630132,Oak Park High,No ,No ,6.7
2636,56,73940.0,5630371,The High School at Moorpark College,No ,No ,17.9
2637,56,73940.0,5633250,Moorpark High,No ,No ,15.1
2639,56,76828.0,5635776,Santa Paula High,No ,No ,19.8
2641,57,10579.0,0113787,Cesar Chavez Community,No ,Yes,75.0
2651,57,72686.0,5732904,Esparto High,No ,No ,24.7
2653,57,72694.0,0135939,Washington Middle College High,Yes,No ,8.0
2654,57,72694.0,5735154,River City High,No ,No ,26.5
2659,57,72710.0,0101162,Pioneer High,No ,No ,16.4
2660,57,72710.0,5738802,Woodland Senior High,No ,No ,11.9
2664,58,10587.0,5830047,Harry P B Carden,No ,Yes,0.0
2669,58,72736.0,5830013,Lindhurst High,No ,No ,24.8
2672,58,72736.0,5835202,Marysville High,No ,No ,20.4
2674,58,72769.0,5838305,Wheatland Union High,No ,No ,15.1
