,County Code,District Code,School Code,School Name,Charter School,DASS,ChronicAbsenteeismRate
1702,36,67678.0,3630522,Ruben S. Ayala High,No ,No ,14.7
1703,36,67678.0,3631017,Chino Hills High,No ,No ,20.8
1704,36,67678.0,3632502,Chino High,No ,No ,27.3
1706,36,67678.0,3631587,Boys Republic High,No ,Yes,0.0
1708,36,67686.0,0125500,Grand Terrace High School at the Ray Abril Jr. Educational Complex,No ,No ,19.8
1710,36,67686.0,3631322,Bloomington High,No ,No ,19.1
1711,36,67686.0,3632742,Colton High,No ,No ,24.6
1713,36,67710.0,0108191,Summit High,No ,No ,19.2
1714,36,67710.0,0120758,Jurupa Hills High,No ,No ,24.3
1715,36,67710.0,3630555,Fontana A. B. Miller High,No ,No ,24.8
1716,36,67710.0,3630902,Henry J. Kaiser High,No ,No ,24.7
1717,36,67710.0,3633302,Fontana High,No ,No ,22.9
1728,36,67777.0,3638616,Yucca Valley High,No ,No ,38.6
1730,36,67801.0,3634169,Needles High,No ,No ,26.4
1732,36,67801.0,3630266,Educational Training Center,No ,Yes,100.0
1741,36,67843.0,0118802,Citrus Valley High,No ,No ,20.8
1743,36,67843.0,3630779,Redlands East Valley High,No ,No ,27.7
1745,36,67843.0,3635042,Redlands Senior High,No ,No ,21.9
1747,36,67850.0,0102830,Wilmer Amina Carter High,No ,No ,23.3
1748,36,67850.0,3630597,Rialto High,No ,No ,18.9
1749,36,67850.0,3633005,Eisenhower High,No ,No ,24.1
1751,36,67850.0,3630530,Zupanic Virtual Academy,No ,Yes,50.7
1753,36,67868.0,3635265,Rim of the World High,No ,No ,30.1
1757,36,67876.0,0125450,Indian Springs High,No ,No ,34.5
1758,36,67876.0,0136952,Entrepreneur High,Yes,No ,56.0
1761,36,67876.0,3631082,Arroyo Valley High,No ,No ,35.1
1762,36,67876.0,3631090,Middle College High,No ,No ,5.9
1763,36,67876.0,3632221,Cajon High,No ,No ,22.6
1764,36,67876.0,3634680,Pacific High,No ,No ,36.9
1765,36,67876.0,3635844,San Bernardino High,No ,No ,28.4
1766,36,67876.0,3636081,San Gorgonio High,No ,No ,25.3
1774,36,67934.0,0125419,Adelanto High,No ,No ,22.2
1778,36,67934.0,3630787,Silverado High,No ,No ,22.8
1779,36,67934.0,3638012,Victor Valley High,No ,No ,18.0
1784,36,67959.0,3638509,Yucaipa High,No ,No ,25.1
1786,36,67959.0,3633351,Green Valley High,No ,Yes,75.9
1787,36,73858.0,3630076,Baker High,No ,No ,16.1
1788,36,73890.0,3630274,Silver Valley High,No ,No ,22.0
1791,36,73957.0,3630233,Serrano High,No ,No ,27.2
