,SchoolCode,TOTAL_EL
397,0138420,17
398,0138669,24
399,0138693,306
400,0139451,49
401,0139691,283
402,0139816,29
403,0139840,77
404,0139915,78
405,0140012,78
406,0140129,77
407,0140434,3
408,0140491,87
409,0140509,146
410,0140541,44
411,0140681,37
412,0140889,106
413,0141010,23
414,0141101,277
415,0141150,1
416,0141283,83
417,0141291,69
418,0141978,94
419,0149187,34
420,0330753,14
421,0334755,9
422,0430827,8
423,0431502,9
424,0431676,102
425,0433201,12
426,0433953,20
427,0434803,49
428,0435602,62
429,0437350,7
430,0437558,52
431,0532507,19
432,0631259,41
433,0634758,27
434,0635250,61
435,0730044,27
436,0730051,65
437,0730283,31
438,0730291,2
439,0730457,177
440,0730465,229
441,0730549,41
442,0730572,4
443,0730598,53
444,0730861,424
445,0731125,16
446,0731380,115
447,0731646,164
448,0731836,215
449,0732164,263
450,0732941,141
451,0733659,324
452,0733725,114
453,0733980,183
454,0734244,12
455,0734368,34
456,0734566,493
457,0735316,184
458,0735407,599
459,0735902,540
460,0736504,29
461,0737023,44
462,0737809,353
463,0833004,51
464,0930081,20
465,0930123,5
466,0930131,3
467,0930164,55
468,0930214,1
469,0932756,56
470,0936302,30
471,0937805,133
472,1030121,82
473,1030196,41
474,1030279,153
475,1030295,136
476,1030493,287
477,1030501,45
478,1030535,102
479,1030626,221
480,1030642,25
481,1030675,507
482,1030683,110
483,1030717,3
484,1030790,50
485,1031053,84
486,1031897,423
487,1032150,95
488,1032507,290
489,1032911,239
490,1033422,13
491,1033430,235
492,1033695,59
493,1033950,35
494,1034214,412
495,1034990,235
496,1035112,16
497,1035310,203
498,1035575,91
499,1035831,488
500,1036094,169
501,1036672,290
502,1036938,1
503,1037456,141
504,1038306,205
505,1132851,47
506,1133701,36
507,1135656,88
508,1136209,3
509,1230705,33
510,1232206,140
511,1232909,2
512,1233402,57
513,1234004,2
514,1235209,15
515,1237007,5
516,1330117,5
517,1330133,464
518,1331404,394
519,1332154,68
520,1332204,1201
521,1332501,82
522,1333004,449
523,1335306,165
524,1335900,151
525,1337609,44
526,1431352,2
527,1431600,48
528,1434901,7
529,1530146,15
530,1530252,569
531,1530344,73
532,1530369,66
533,1530385,223
534,1530401,27
535,1530476,55
536,1530708,311
537,1531367,82
538,1531672,312
539,1532290,336
540,1532605,320
541,1533330,118
542,1533538,5
543,1533843,18
544,1534155,209
545,1534775,161
546,1534957,103
547,1535087,253
548,1535392,236
549,1535905,209
550,1536135,54
551,1536440,306
552,1536606,190
553,1630151,12
554,1630169,139
555,1630953,306
556,1632207,63
557,1634401,178
558,1635606,142
559,1732304,28
560,1734359,58
561,1735000,216
562,1736008,35
563,1737006,16
564,1833805,27
565,1838507,1
566,1930056,58
567,1930080,21
568,1930155,253
569,1930163,309
570,1930213,179
571,1930288,230
572,1930296,41
573,1930312,4
574,1930320,221
575,1930353,4
576,1930361,211
577,1930387,82
578,1930403,3
579,1930486,4
580,1930528,246
581,1930551,12
582,1930577,8
583,1930601,114
584,1930619,19
585,1930650,231
586,1930692,7
587,1930700,105
588,1930734,2
589,1930791,4
590,1930825,541
591,1930866,152
592,1930924,340
593,1930940,14
594,1930973,11
