,School Code,STU_TCH_RATIO
323,1931781,25.8
324,1996438,15.9
325,0100602,20.6
326,1996313,21
327,0127381,23.6
328,0131938,59
329,0132324,24.9
330,0135525,18.7
331,1934470,22
332,1934678,21.8
333,1935758,25.5
334,1936947,23.5
335,1939875,23.1
336,1995539,25
337,1995935,20.1
338,1996503,20.9
339,0100677,21.2
340,0100750,16.7
341,0100800,18.2
342,0101196,16.6
343,0101659,15.6
344,0101675,18.4
345,0102434,19.5
346,0102913,21.9
347,0102921,25.1
348,0106831,14.6
349,0106849,20.6
350,0106997,18.4
351,0107003,17.7
352,0107755,17.3
353,0108878,15.4
354,0108894,21.1
355,0108936,20
356,0109447,20
357,0109454,21.3
358,0109462,18.4
359,0109512,15.9
360,0110668,16.7
361,0111484,10.8
362,0111492,19.5
363,0111500,15.6
364,0111575,19
365,0111583,19.5
366,0111625,19.4
367,0111658,17.9
368,0112029,19.6
369,0112037,16.7
370,0112045,17.4
371,0112052,18.3
372,0112508,20.6
373,0112870,16.3
374,0114850,16.4
375,0115253,18.9
376,0116509,17.2
377,0117051,20.2
378,0117069,15.7
379,0117598,18
380,0117606,15.2
381,0117721,16.8
382,0117747,17.6
383,0117762,17.5
384,0117911,11.6
385,0118588,17.3
386,0119727,17.6
387,0119966,17.6
388,0120360,13.6
389,0120808,9
390,0121285,19
391,0122333,18.4
392,0122341,11.1
393,0122358,18.1
394,0122366,9.8
395,0122374,17.8
396,0122382,13.8
397,0122606,16.4
398,0123133,12.5
399,0123141,19.4
400,0124362,17
401,0124370,15.4
402,0124388,20.3
403,0124396,20.5
404,0124404,14.9
405,0124479,15.8
406,0124487,18.7
407,0124495,19.2
408,0124503,20.3
409,0124511,19.8
410,0124891,18
411,0124933,13
412,0124941,21.2
413,0125864,20.7
414,0125989,19.6
415,0126136,18.2
416,0126482,19.5
417,0126516,21
418,0126524,21
419,0126532,19.2
420,0126540,18.4
421,0126557,17.5
422,0126573,14.8
423,0126615,18.6
424,0126623,17.2
425,0127787,15.2
426,0127795,18.1
427,0127803,21.8
428,0127894,18.4
429,0127910,17.5
430,0129536,12.8
431,0129585,17.9
432,0129627,18.6
433,0130997,17.1
434,0131821,11.4
435,0132027,16.6
436,0132126,16.8
437,0132282,16.6
438,0133868,18.8
439,0135632,15
440,0135715,21.6
441,0135723,22.5
442,0137083,10.5
443,0137091,12.1
444,0137562,19.5
445,0137612,14.2
446,0140129,16.9
447,0141630,8.2
448,1930296,17.3
449,1930387,12.7
450,1930403,12.5
451,1930429,10
452,1930486,15.3
453,1930551,13.7
454,1930577,20
455,1930619,6.8
456,1930650,17.7
457,1930692,9.2
458,1930734,17.8
459,1930791,12.7
460,1930866,20.7
461,1930924,16.9
462,1930940,16.5
463,1930973,13.7
