,SchoolCode,Met UC/CSU Grad Req's (Rate),Dropout (Rate)
74206,1533538,15.3,11.8
74224,1534775,32.4,13.3
74243,1535087,39.3,2.8
74261,1535392,39.8,7.3
74297,1536606,38.9,15.6
74315,0127209,0.0,18.9
74386,1533843,0.0,19.0
74403,0114512,31.3,16.2
74518,1534957,18.6,4.2
74554,1535905,27.5,9.0
74589,1536135,30.9,5.0
74624,1536440,35.1,4.0
74659,1531367,19.8,9.2
74676,1530146,0.0,44.4
74712,1534155,51.8,0.9
74729,1530401,6.6,3.0
74841,1632207,39.6,4.0
74860,0118919,55.1,0.8
74878,0137901,6.3,3.6
74893,1630151,*,*
74912,1630169,42.7,0.0
74948,1634401,34.6,0.3
74967,0136556,4.7,24.6
74984,0110205,100.0,0.0
75002,0136234,51.1,2.2
75039,1635606,42.5,2.9
75089,1630953,43.5,3.2
75153,1734359,14.3,8.0
75221,1735000,24.0,7.8
75276,1732304,21.5,1.5
75328,1736008,29.8,3.4
75360,1737006,37.1,5.4
75418,1833805,16.8,5.5
75467,1838507,0.0,53.8
75497,1833409,*,*
75646,0121939,0.0,0.0
75678,0134346,34.4,5.4
75712,0136119,80.9,2.8
75746,0138669,17.9,10.8
75762,0140681,97.1,3.7
75778,1933399,83.7,3.9
75795,1995869,96.6,4.1
75878,1930056,71.4,0.5
75896,1930361,42.0,3.8
75914,1931641,0.0,9.3
75949,1933159,65.8,0.5
75965,1995596,*,*
75996,0100081,39.6,7.9
76014,0108407,36.6,8.1
76029,0111872,96.1,0.0
76062,1930213,26.1,14.2
76079,1931732,72.7,63.0
76097,1936624,34.6,18.8
76115,1937051,42.2,6.3
76133,1995398,42.7,8.2
76151,1995406,25.2,8.1
76169,1995844,34.9,10.8
76183,1995968,*,*
76201,1996537,9.1,18.5
76249,1930288,65.1,0.3
76295,1930528,47.1,9.2
76367,1930601,30.7,3.5
76402,1938166,45.9,1.0
76420,1996479,66.0,38.5
76436,1930700,38.1,0.6
76574,1930981,68.9,2.2
76633,1931088,65.8,0.7
76666,1937739,60.8,0.9
76695,0131573,20.4,1.8
76713,1931187,53.6,0.7
76730,1931237,57.2,0.4
76761,1995877,0.0,8.3
76792,0118521,0.0,7.5
76809,0128488,87.5,97.8
76825,0128496,78.6,96.4
76859,1933951,51.1,9.3
76876,1934926,60.3,5.0
76893,1935048,53.6,5.9
76910,1930312,0.0,25.8
76928,1931666,55.0,0.3
77001,1931823,67.0,0.2
77066,1932086,76.4,1.2
77083,1936418,73.1,2.5
77100,1938372,67.8,1.3
77133,1932201,69.6,2.0
77224,1932441,66.3,0.9
77242,1939164,68.8,2.0
77289,0134858,86.0,0.0
77325,1932482,37.6,1.0
77378,1930320,40.1,1.2
77397,1932664,35.9,4.5
77415,1932680,48.5,3.0
77434,1937481,54.5,2.3
77471,1995661,54.5,1.9
77488,1996123,*,*
77550,1932706,57.7,2.8
77566,1930353,6.7,0.0
77582,1932763,82.7,0.0
77615,1932144,71.4,0.6
77649,1933530,40.0,2.4
77666,1934082,36.8,1.3
77700,1996131,94.9,0.0
77733,1933597,66.4,0.6
77751,1939677,3.8,6.9
77785,0100354,81.5,0.0
77817,1934231,41.2,7.2
77864,1996529,94.5,5.2
77882,1996586,92.8,0.0
77956,1930080,66.2,2.9
77973,1931781,68.6,1.4
77989,1996438,94.9,1.0
78006,0100602,82.5,0.7
78022,1996313,83.9,0.7
