,SchoolCode,School Name,Charter School,DASS,ChronicAbsenteeismRate,College Going Rate - Total (12 Months),TOTAL_EL,Percent Eligible FRPM,School Type,Educational Option Type,Met UC/CSU Grad Req's (Rate),Dropout (Rate),Homeless Student Enrollment (Rate),SPED_ENR_N,Stability Rate (percent),CumulativeEnrollment,Total Expulsions,Total Suspensions,STU_TCH_RATIO,Percentage Standard Met and Above,Students Tested with Scores (Rate)
1,130229,Alameda High,No ,No ,10.9,82.8,100,0.30406852248394,High Schools (Public),Traditional,77.1,0.2,0.0052521008403361,235,96.7,1904,0,24,23.8,67.6,0.9976744186046512
2,130450,Albany High,No ,No ,18.3,81.5,72,0.3101604278074866,High Schools (Public),Traditional,77.6,0.0,0.0061188811188811,92,97.2,1144,0,9,18.8,70.86,0.936026936026936
3,132746,Emery Secondary,No ,No ,39.2,60.0,18,0.6049382716049383,High Schools (Public),Traditional,11.4,4.3,0.0113636363636363,24,86.9,176,0,15,11.7,2.94,0.9714285714285714
4,134270,Irvington High,No ,No ,10.7,88.1,160,0.2466388502549837,High Schools (Public),Traditional,70.0,3.0,0.0139639639639639,158,94.6,2220,0,29,25.4,71.31,0.990138067061144
5,134452,John F. Kennedy High,No ,No ,15.9,75.4,267,0.5271013354281225,High Schools (Public),Traditional,54.3,3.6,0.0266075388026607,207,88.3,1353,3,111,20.6,34.23,0.9738562091503268
6,138693,Washington High,No ,No ,12.7,82.0,306,0.3643331630045989,High Schools (Public),Traditional,61.6,2.3,0.0112085769980506,239,91.2,2052,3,117,24.3,53.92,0.9863636363636364
7,108670,Leadership Public Schools - Hayward,Yes,No ,5.5,81.0,65,0.5235602094240838,High Schools (Public),Traditional,96.2,2.1,0.0050847457627118,47,94.7,590,0,26,25.4,29.8,0.993421052631579
8,133629,Hayward High,No ,No ,34.7,61.3,168,0.7506329113924051,High Schools (Public),Traditional,34.1,13.5,0.0213396561944279,215,84.5,1687,7,126,19.1,30.05,0.9457364341085271
9,135319,Mt. Eden High,No ,No ,25.8,70.2,207,0.7501340482573726,High Schools (Public),Traditional,43.8,6.7,0.0179303278688524,262,90.3,1952,1,109,21.7,21.77,0.842741935483871
10,138339,Tennyson High,No ,No ,32.8,54.8,607,0.8385175380542687,High Schools (Public),Traditional,29.5,19.5,0.0400943396226415,198,79.5,1696,4,338,17.8,9.28,0.934959349593496
11,133397,Granada High,No ,No ,10.1,80.9,120,0.1567717996289425,High Schools (Public),Traditional,64.9,0.0,0.0072727272727272,282,94.5,2200,5,72,21.8,57.06,0.9619565217391304
12,134536,Livermore High,No ,No ,16.5,70.9,193,0.2348111658456486,High Schools (Public),Traditional,49.4,1.1,0.0159151193633952,280,93.5,1885,3,80,21.7,35.38,0.9271070615034168
13,130054,Newark Memorial High,No ,No ,11.1,74.6,229,0.3891733723482077,High Schools (Public),Traditional,40.4,4.5,0.0356643356643356,196,92.2,1430,2,85,25.5,27.85,1.0
15,134668,James Logan High,No ,No ,23.7,79.1,347,0.5277777777777778,High Schools (Public),Traditional,52.4,1.2,0.0151048088779284,370,91.2,3244,1,130,23.8,41.45,0.9685714285714284
17,100065,Oakland Unity High,Yes,No ,13.3,62.2,60,0.7288135593220338,High Schools (Public),Traditional,100.0,7.1,0.0,51,92.9,312,0,12,21.1,16.42,0.9710144927536232
18,108944,Lighthouse Community Charter High,Yes,No ,27.0,83.6,98,0.9288256227758008,High Schools (Public),Traditional,91.0,10.7,0.0204081632653061,55,91.8,294,0,13,14,20.34,0.9516129032258064
19,110189,McClymonds High,No ,No ,50.5,68.3,29,0.9597069597069596,High Schools (Public),Traditional,57.4,4.6,0.0284810126582278,62,72.5,316,1,77,11,7.32,0.7735849056603774
20,125161,Castlemont High,No ,No ,58.2,54.8,361,0.9902642559109874,High Schools (Public),Traditional,34.9,31.3,0.1693735498839907,138,72.4,862,1,163,13.9,5.26,0.7480314960629921
21,125716,Fremont High,No ,No ,34.5,40.4,615,0.9905660377358492,High Schools (Public),Traditional,69.7,22.8,0.1555733761026463,155,86.9,1247,0,114,16.4,9.24,0.8892857142857142
22,126748,LPS Oakland R & D Campus,Yes,No ,1.7,50.0,59,0.7052023121387283,High Schools (Public),Traditional,94.6,15.9,0.0,24,85.6,187,0,9,12.9,,0.0
