,School Code,SPED_ENR_N
398,0124370,58
399,0124388,54
400,0124396,57
401,0124404,56
402,0124479,133
403,0124487,54
404,0124495,83
405,0124503,64
406,0124511,54
407,0124891,74
408,0124933,50
409,0124941,78
410,0125864,56
411,0125989,79
412,0126136,67
413,0126482,137
414,0126516,60
415,0126524,57
416,0126532,72
417,0126540,52
418,0126557,53
419,0126573,124
420,0126615,70
421,0126623,40
422,0127787,58
423,0127795,25
424,0127803,5
425,0127894,95
426,0127910,77
427,0129536,76
428,0129585,97
429,0129627,53
430,0130997,17
431,0131821,32
432,0132027,73
433,0132126,62
434,0132282,48
435,0133868,60
436,0135632,64
437,0135715,87
438,0135723,41
439,0137083,8
440,0137091,22
441,0137562,44
442,0137612,35
443,0140129,51
444,0141630,5
445,1930296,13
446,1930387,53
447,1930403,2
448,1930429,2
449,1930486,7
450,1930551,14
451,1930577,13
452,1930619,7
453,1930650,359
454,1930692,1
455,1930734,10
456,1930791,3
457,1930866,256
458,1930924,68
459,1930940,12
460,1930973,11
461,1931047,322
462,1931336,3
463,1931393,10
464,1931435,12
465,1931450,5
466,1931476,233
467,1931484,31
468,1931518,5
469,1931526,221
470,1931534,38
471,1931559,30
472,1931682,19
473,1931690,21
474,1931708,224
475,1931856,7
476,1931864,323
477,1931930,2
478,1931955,11
479,1931971,6
480,1931989,3
481,1931997,2
482,1932128,125
483,1932250,2
484,1932342,24
485,1932383,147
486,1932623,339
487,1932821,3
488,1932888,36
489,1932920,204
490,1932987,320
491,1933001,62
492,1933118,243
493,1933241,192
494,1933381,347
495,1933795,223
496,1933852,304
497,1934033,127
498,1934157,207
499,1934371,73
500,1934454,168
501,1935121,152
502,1935352,162
503,1935519,153
504,1935568,252
505,1935865,332
506,1936160,244
507,1936350,294
508,1937085,2
509,1937424,260
510,1937622,288
511,1937838,346
512,1938307,219
513,1938554,235
514,1938612,351
515,1938885,218
516,1938968,205
517,1939040,276
518,1939107,185
519,1939305,128
520,1939479,91
521,1939859,243
522,1939941,277
523,1995448,108
524,1995794,6
525,1995836,264
526,1996073,51
527,0109538,229
528,1935436,269
529,1935923,173
530,0124552,43
531,1930155,337
532,1930825,396
533,1935998,368
534,1933647,167
535,1934728,198
536,1936467,261
537,0140889,126
538,1995588,184
539,1996552,172
540,0136705,29
541,1936749,471
542,1936103,235
543,1936822,206
544,1933175,149
545,1933324,270
546,1937028,195
547,1995901,204
548,1996495,24
549,1937754,63
550,1933373,9
551,1938000,325
552,1995737,50
553,1938455,163
554,1938679,158
555,1936277,168
556,1938356,197
557,1938752,157
558,1939602,155
559,0122432,91
560,0137042,11
561,1939537,167
562,1931302,327
563,1934868,192
564,1936889,205
565,1937903,246
566,1939701,293
567,1995653,8
568,0102459,323
