,School Code,Homeless Student Enrollment (Rate)
61751,2635001,0.05714285714285714
61753,2630010,0.04261363636363636
61756,2630028,0.0
61757,0124990,0.016778523489932886
64785,2730414,0.012531328320802004
64793,2730885,0.1393548387096774
64815,2730265,0.25806451612903225
64816,2730117,0.0
64828,0111435,0.21212121212121213
64832,2732808,0.13282863041982107
64837,2735348,0.3049522154648132
64845,2730034,0.2405446293494705
64852,2733657,0.0
64870,2730109,0.06162952646239554
64875,2730166,0.036390101892285295
64880,2733178,0.08024966562639323
64881,0136697,0.03415783274440518
64882,2734556,0.043565147881694646
64903,2730190,0.08746898263027296
64906,2730174,0.16119402985074627
64907,2732170,0.037825059101654845
64909,0141010,0.1565217391304348
65896,2830073,0.008547008547008548
65899,0121087,0.023702031602708805
65907,2835601,0.057227138643067846
65911,2830115,0.028795811518324606
65924,2830016,0.03607937462417318
65931,2837102,0.014218009478672985
67442,0114314,0.029411764705882353
67451,2930048,0.014619883040935672
67452,2935500,0.042270531400966184
67454,2930030,0.03278688524590164
67455,0124834,0.0
67457,0112367,0.0
71426,3030228,0.08434994771697456
71430,3030038,0.03104693140794224
71434,3033115,0.05161601543656536
71435,3033057,0.08227589029881294
71437,3033784,0.07591933570581258
71438,3034204,0.11155606407322655
71443,3036712,0.0959849435382685
71447,3038239,0.1164427383237364
71452,3030640,0.029256875365710942
71476,0124131,0.007407407407407408
71480,3030210,0.10942100098135427
71584,3030855,0.06835722160970231
71585,3032505,0.04616156547917712
71586,3033362,0.025718608169440244
71587,3030335,0.08055555555555556
71590,3037090,0.023783783783783784
71591,3037348,0.010012515644555695
71592,3037496,0.01811023622047244
71596,3030434,0.038159371492704826
71612,3032752,0.03209986625055729
71624,3033578,0.034695817490494295
71628,3033933,0.036715620827770364
71641,3035581,0.01728247914183552
71646,3035706,0.0579987253027406
71649,3036555,0.035613340870548335
71669,3030368,0.038834951456310676
71670,3031895,0.00477326968973747
71671,3032158,0.02127659574468085
71672,3032943,0.028033935817041684
71673,3034410,0.02819640252795333
71675,3030145,0.28476269775187346
71677,3038445,0.13197586726998492
71686,3030129,0.024193548387096774
71696,3030152,0.0029426189308484553
71704,3030657,0.00043122035360068997
71707,0133405,0.003959683225341973
71718,3035102,0.003336113427856547
71723,3030285,0.0008680555555555555
71736,3033206,0.007194244604316547
71745,3033917,0.00033647375504710633
71770,3034907,0.17
71777,0111666,0.09444444444444444
71790,3035045,0.03654024051803885
71821,0133983,0.059957173447537475
71831,0134841,0.05396825396825397
71842,0141978,0.010830324909747292
71846,3030046,0.008861320336730172
71853,3031952,0.03184713375796178
71868,3035409,0.04034896401308615
71883,3038098,0.01169864295741694
71893,3031929,0.11916342412451363
71894,3030053,0.11468531468531469
71917,3038023,0.3081232492997199
71920,0119404,0.03836930455635491
71927,3030061,0.06555723651033787
71933,3030244,0.1016949152542373
71939,3034956,0.04957160342717258
71951,3030079,0.4778481012658228
71954,3030392,0.018867924528301886
71962,3030491,0.20659614187927816
71975,0114736,0.17567567567567569
71990,3030608,0.08908685968819599
71994,0106567,0.01875
