,School Code,Percent Eligible FRPM,School Type,Educational Option Type
1133,1033695,0.6262814538676608,High Schools (Public),Traditional
1137,0108092,0.9118110236220472,High Schools (Public),Traditional
1140,0126292,0.7098039215686275,High Schools (Public),Traditional
1143,1035310,0.8009977827050998,High Schools (Public),Traditional
1156,0140434,0.9166666666666666,Alternative Schools of Choice,Alternative School of Choice
1157,1033950,0.8773006134969326,High Schools (Public),Traditional
1164,0126870,0.94,Continuation High Schools,Continuation School
1165,1034990,0.9489456159822419,High Schools (Public),Traditional
1171,0136499,0.9348659003831418,K-12 Schools (Public),Traditional
1175,0141291,0.6564673157162726,High Schools (Public),Traditional
1179,1036094,0.6962077493816983,High Schools (Public),Traditional
1197,1036672,0.9012202208018594,High Schools (Public),Traditional
1210,0136523,0.8984126984126984,K-12 Schools (Public),Traditional
1213,1030121,0.8424962852897474,High Schools (Public),Traditional
1225,0140509,0.7288782816229117,High Schools (Public),Traditional
1227,1030626,0.8219414129810454,High Schools (Public),Traditional
1228,1030790,0.7488,High Schools (Public),Traditional
1229,1035112,0.8613861386138614,Continuation High Schools,Continuation School
1247,1033422,0.9473684210526315,Continuation High Schools,Continuation School
1248,1033430,0.8680509042196919,High Schools (Public),Traditional
1255,1030493,0.9746478873239437,High Schools (Public),Traditional
1262,1037456,0.9837837837837838,High Schools (Public),Traditional
1270,1036938,0.35149863760217986,High Schools (Public),Traditional
1274,1035575,0.907258064516129,High Schools (Public),Traditional
1278,1030535,0.8914956011730205,High Schools (Public),Traditional
1283,0122473,1.0,Alternative Schools of Choice,Alternative School of Choice
1286,1038306,0.8713503649635036,High Schools (Public),Traditional
1298,1136209,0.6744186046511628,High Schools (Public),Traditional
1300,1132109,0.7619047619047619,High Schools (Public),Traditional
1303,1132851,0.7044917257683215,High Schools (Public),Traditional
1307,1135656,0.7806896551724138,High Schools (Public),Traditional
1312,1133701,0.6830065359477124,High Schools (Public),Traditional
1316,0106203,1.0,Juvenile Court Schools,Juvenile Court School
1329,0107110,0.30973451327433627,High Schools (Public),Traditional
1333,1230705,0.4031777557100298,High Schools (Public),Traditional
1334,1235209,0.4558303886925795,High Schools (Public),Traditional
1342,0108688,0.37662337662337664,Alternative Schools of Choice,Alternative School of Choice
1344,1233402,0.6610169491525424,High Schools (Public),Traditional
1352,1234004,0.7773584905660378,High Schools (Public),Traditional
1379,1237007,0.6492890995260664,High Schools (Public),Traditional
1384,1232909,0.46206896551724136,High Schools (Public),Traditional
1386,1230085,0.5,High Schools (Public),Traditional
1392,1232206,0.5111876075731497,High Schools (Public),Traditional
1405,1330117,1.0,Juvenile Court Schools,Juvenile Court School
1415,1331404,0.7069243156199678,High Schools (Public),Traditional
1419,1332154,0.8020833333333334,Continuation High Schools,Continuation School
1420,1332204,0.848871085214858,High Schools (Public),Traditional
1428,1332501,0.8376811594202899,High Schools (Public),Traditional
1434,1330133,0.7210184182015168,High Schools (Public),Traditional
1435,1333004,0.7258225324027916,High Schools (Public),Traditional
1453,1335306,0.7422480620155039,High Schools (Public),Traditional
1461,1335900,0.4697706740792217,High Schools (Public),Traditional
1471,1337609,0.9209039548022598,High Schools (Public),Traditional
1476,0117994,0.8943181818181818,High Schools (Public),Traditional
1477,0128447,0.9136690647482014,High Schools (Public),Traditional
1478,0128454,0.9333333333333333,High Schools (Public),Traditional
1480,1431352,0.5333333333333333,High Schools (Public),Traditional
1484,1434901,0.5232558139534884,High Schools (Public),Traditional
1486,1436203,0.6086956521739131,High Schools (Public),Traditional
1491,0119081,0.6923076923076923,Alternative Schools of Choice,Alternative School of Choice
1495,1431600,0.39144736842105265,High Schools (Public),Traditional
1600,0100529,0.8619119878603946,High Schools (Public),Traditional
1601,0116384,0.8931133428981348,High Schools (Public),Traditional
1603,1531672,0.9279279279279279,High Schools (Public),Traditional
1633,0100198,0.9084380610412927,High Schools (Public),Traditional
1634,0110999,0.35795996186844614,High Schools (Public),Traditional
1635,0116392,0.7465576592082617,High Schools (Public),Traditional
1636,0116400,0.947265625,High Schools (Public),Traditional
1638,0141101,0.9626362221069019,High Schools (Public),Traditional
1642,1530252,0.9645684131172257,High Schools (Public),Traditional
1643,1530344,0.44286905754795663,High Schools (Public),Traditional
1644,1530369,0.4448462929475588,High Schools (Public),Traditional
1645,1530385,0.7180582524271845,High Schools (Public),Traditional
1647,1530476,0.4314056563951034,High Schools (Public),Traditional
1648,1530708,0.8152492668621701,High Schools (Public),Traditional
1649,1532290,0.9021879021879022,High Schools (Public),Traditional
1650,1532605,0.8781204111600588,High Schools (Public),Traditional
1651,1533330,0.8735177865612648,High Schools (Public),Traditional
1652,1533538,0.7693798449612403,High Schools (Public),Traditional
1653,1534775,0.8735362997658079,High Schools (Public),Traditional
1654,1535087,0.8749218261413383,High Schools (Public),Traditional
1655,1535392,0.9677266255339345,High Schools (Public),Traditional
1657,1536606,0.9110699397869384,High Schools (Public),Traditional
1677,0127209,0.7838427947598253,High Schools (Public),Traditional
1682,1533843,0.9861111111111112,High Schools (Public),Traditional
1688,0114512,0.7980132450331126,High Schools (Public),Traditional
1719,1534957,0.7982740021574973,High Schools (Public),Traditional
1734,1535905,0.818609022556391,High Schools (Public),Traditional
1737,1536135,0.4,High Schools (Public),Traditional
1753,1536440,0.875,High Schools (Public),Traditional
1758,1531367,0.5286458333333334,High Schools (Public),Traditional
1768,1530146,0.8837209302325582,Continuation High Schools,Continuation School
1770,1534155,0.8218111002921129,High Schools (Public),Traditional
1775,1530401,0.7459016393442623,High Schools (Public),Traditional
1792,1632207,0.8936627282491945,High Schools (Public),Traditional
1811,0118919,0.588334742180896,High Schools (Public),Traditional
1812,0137901,0.8613138686131386,High Schools (Public),Traditional
1813,1630151,0.9210526315789473,District Community Day Schools,Community Day School
1814,1630169,0.7761081893313299,High Schools (Public),Traditional
1816,1634401,0.835781041388518,High Schools (Public),Traditional
1819,0136556,0.9128440366972477,K-12 Schools (Public),Traditional
1832,0110205,0.396078431372549,High Schools (Public),Traditional
1833,0136234,0.5886524822695035,High Schools (Public),Traditional
1835,1635606,0.5895439377085651,High Schools (Public),Traditional
1841,1630953,0.9566929133858267,High Schools (Public),Traditional
1853,1734359,0.6271844660194175,High Schools (Public),Traditional
1862,1735000,0.7577639751552795,High Schools (Public),Traditional
1871,1732304,0.7731343283582089,High Schools (Public),Traditional
1879,1736008,0.5510688836104513,High Schools (Public),Traditional
1885,1737006,0.8338762214983714,High Schools (Public),Traditional
1894,1833805,0.34191176470588236,High Schools (Public),Traditional
1903,1838507,0.7222222222222222,High Schools (Public),Traditional
1906,1833409,0.6956521739130435,High Schools (Public),Traditional
1920,0121939,1.0,Juvenile Court Schools,Juvenile Court School
1924,0134346,0.6779661016949152,High Schools (Public),Traditional
1927,0136119,0.882943143812709,High Schools (Public),Traditional
1930,0138669,0.8982035928143712,High Schools (Public),Traditional
1932,0140681,0.8722466960352423,High Schools (Public),Traditional
1935,1933399,0.18874773139745918,Opportunity Schools,Opportunity School
1936,1995869,0.2685589519650655,Opportunity Schools,Opportunity School
1942,1930056,0.4308617234468938,High Schools (Public),Traditional
1943,1930361,0.8627167630057804,High Schools (Public),Traditional
1944,1931641,0.7682926829268293,Continuation High Schools,Continuation School
1946,1933159,0.6118945432250154,High Schools (Public),Traditional
1947,1995596,0.6470588235294118,Alternative Schools of Choice,Alternative School of Choice
1973,0100081,0.5810983397190294,High Schools (Public),Traditional
1974,0108407,0.6845305967312809,High Schools (Public),Traditional
