,School Code,Percent Eligible FRPM,School Type,Educational Option Type
2954,1933241,0.9352196574832464,High Schools (Public),Traditional
2955,1933381,0.9280286097451944,High Schools (Public),Traditional
2957,1933795,0.9470124013528749,High Schools (Public),Traditional
2958,1933852,0.7605839416058394,High Schools (Public),Traditional
2959,1934033,0.926829268292683,High Schools (Public),Traditional
2960,1934157,0.9513184584178499,High Schools (Public),Traditional
2961,1934371,0.9893617021276596,High Schools (Public),Traditional
2962,1934454,0.9786700125470514,High Schools (Public),Traditional
2963,1935121,0.8937568455640745,High Schools (Public),Traditional
2964,1935352,0.9079754601226994,High Schools (Public),Traditional
2965,1935519,0.975024975024975,High Schools (Public),Traditional
