,SchoolCode,CumulativeEnrollment,Total Expulsions,Total Suspensions
1097,0116376,1605,0,97
1098,3935103,2057,11,157
1099,3930310,1763,2,52
1100,0101576,1257,6,129
1101,0136135,406,0,0
1102,0133116,648,0,0
1103,3935756,1070,0,33
1104,0108159,2191,3,158
1105,3932100,2546,5,226
1106,0115402,204,0,12
1107,0123802,414,0,2
1108,0124248,202,0,0
1109,3937406,1939,0,190
1110,0119743,427,0,0
1111,0119784,336,0,0
1112,3930427,363,0,1
1113,0119040,1666,5,133
1114,3930302,2069,6,297
1115,0102392,458,0,6
1116,3938008,1836,16,147
1117,4030102,196,0,0
1118,4030755,1228,4,106
1119,4032009,175,0,9
1120,0125328,328,0,14
1121,4030268,888,6,82
1122,0119354,219,0,0
1123,4035754,2096,4,124
1124,4034807,770,0,9
1125,4036703,1730,2,119
1126,4037008,88,2,8
1127,4037701,745,0,8
1128,4030185,126,0,0
1129,4132817,919,0,23
1130,4133393,1136,0,69
1131,4135075,481,0,11
1132,0127548,461,0,5
1133,4137535,760,0,24
1134,4137592,196,0,19
1135,4137790,1360,0,107
1136,4135331,81,0,5
1137,0135269,116,0,4
1138,4130217,1694,1,55
1139,4130472,1621,1,23
1140,4130738,1101,1,64
1141,0129759,567,0,28
1142,4133070,1630,1,51
1143,4134557,1130,0,41
1144,4136370,1640,3,76
1145,4130993,2389,0,69
1146,0126722,288,0,30
1147,0139915,209,0,36
1148,4133716,2232,0,90
1149,4136693,1933,0,73
1150,0112722,303,0,13
1151,0138420,217,0,5
1152,4138053,1718,0,67
1153,4132551,1092,0,82
1154,4137279,1307,0,75
1155,4230587,610,0,97
1156,4231205,60,0,0
1157,4230454,1121,0,89
1158,4233060,1690,2,139
1159,0120402,205,0,4
1160,4231726,2194,1,31
1161,4235230,1986,1,76
1162,4235727,1996,4,85
1163,4234613,2568,3,248
1164,0102285,3234,9,244
1165,4236030,3329,4,149
1166,4236345,819,0,36
1167,4330866,1881,1,28
1168,4331955,1424,2,104
1169,4330239,1933,0,8
1170,4336137,1519,0,48
1171,4338505,1732,3,49
1172,0125617,336,0,4
1173,0132274,432,0,20
1174,4332995,1748,0,34
1175,0131995,278,1,3
1176,0107151,1536,0,0
1177,4330692,2763,0,62
1178,4330031,2477,0,56
1179,4333639,956,3,45
1180,0116889,521,0,78
1181,4330668,444,1,0
1182,0130856,247,1,1
1183,4334900,1098,0,53
1184,4335204,1495,3,72
1185,4335907,1984,0,53
1186,4330023,2219,0,60
1187,4337903,2235,1,52
1188,4335428,1477,0,72
1189,4330015,1733,0,69
1190,4330569,12,0,8
1191,4331799,1841,0,41
1192,4332474,2160,0,49
1193,4333316,2282,1,47
1194,4334421,1731,1,4
1195,4334462,1655,0,8
1196,0118380,1702,0,76
1197,0114496,308,0,0
1198,4332839,1693,7,129
1199,4334371,1932,0,21
1200,4337762,1175,0,3
1201,4331039,146,0,11
1202,4334470,3004,1,92
1203,0102368,1592,4,61
1204,4333951,1149,2,120
1205,4334116,2260,0,26
1206,4334728,2265,0,31
1207,4332904,1676,0,12
1208,4335782,1922,0,24
1209,4333795,1710,0,125
1210,4330080,807,0,61
1211,4333522,1506,0,41
1212,4335949,1446,2,92
1213,4337200,987,0,93
1214,4338950,1633,0,77
1215,0135087,575,0,0
1216,4330254,419,0,0
1217,0123794,396,0,17
1218,4338802,1691,2,52
1219,0141283,731,0,49
1220,0135970,184,0,0
1221,4330122,1736,0,73
1222,4330247,187,0,0
1223,0137315,313,0,11
1224,4430518,1311,1,116
1225,4430245,88,0,2
1226,0105858,1345,0,63
1227,4437901,2323,0,144
1228,4436754,599,0,37
1229,4430096,99,0,1
1230,4430187,127,0,1
1231,4432340,1054,0,29
1232,4437109,1117,0,18
1233,4437406,1104,1,15
1234,4430146,82,0,0
1235,4430211,617,0,6
1236,4530192,46,1,51
1237,4530804,624,1,134
1238,4530051,134,0,1
1239,4530028,816,0,89
1240,4530010,25,0,2
1241,4531901,631,1,65
1242,4530150,97,0,0
1243,4532750,1223,3,140
1244,4530044,1568,0,69
1245,4530200,348,1,64
1246,4530267,309,0,0
1247,4530309,135,0,0
1248,4537304,1341,1,52
1249,4731253,102,0,3
1250,4732707,65,0,5
1251,4733309,195,0,18
1252,4734356,46,0,9
1253,4734901,10,0,0
1254,4735403,257,0,16
1255,4738753,198,0,13
1256,4739207,659,13,109
1257,4831004,1362,2,64
1258,4832259,1054,0,51
1259,4830170,2184,1,150
1260,4830451,1991,6,229
1261,4833000,1749,8,141
1262,4830071,128,0,0
1263,4838801,1697,1,50
1264,4830113,485,0,7
1265,0141150,16,0,5
1266,4837803,2125,3,114
1267,4830089,1758,5,113
1268,0139816,201,0,44
1269,4830147,1560,0,170
1270,4830196,498,1,25
1271,4930855,411,0,11
1272,0123786,469,0,14
1273,4935482,1833,2,70
1274,4930384,347,0,0
1275,4932554,519,3,30
1276,4930012,1703,1,67
1277,4935151,1231,0,45
1278,4930111,40,0,2
1279,4930160,1153,8,122
1280,4930244,1633,0,66
1281,4934154,1332,6,153
1282,4935292,1542,5,129
1283,4936803,1644,0,89
1284,4937256,1109,2,38
1285,4930400,1510,0,51
1286,0138263,39,0,2
1287,4930228,1781,1,63
1288,0108076,2442,1,374
1289,5030879,1753,4,367
1290,5030168,165,0,0
1291,0107136,106,0,4
1292,5031521,326,2,36
1293,5032651,893,0,41
1294,5030010,1701,0,102
1295,5031380,2327,1,133
1296,0110593,2377,0,97
1297,0121129,2425,0,85
1298,5034905,2429,0,98
1299,5030135,2189,1,61
1300,5031802,2339,0,155
1301,5035902,984,1,55
1302,5035654,1635,11,107
1303,5030192,88,0,0
1304,5036256,1939,17,116
1305,5036850,775,0,39
1306,5030283,2126,0,131
1307,5037700,2692,0,125
1308,5030259,603,2,34
1309,5132758,318,0,23
1310,5135256,641,0,57
1311,0114207,52,0,49
1312,5137500,742,0,9
1313,0107722,1852,2,266
1314,5139001,1852,3,204
1315,5231675,102,0,70
1316,5231709,1041,0,65
1317,0137414,73,0,0
1318,5235106,228,0,28
1319,5237201,1673,0,24
1320,5237151,180,0,22
1321,5337407,99,0,1
1322,5330022,11,0,0
1323,5337456,304,4,84
1324,0125633,227,0,0
1325,5430301,108,0,1
1326,5433230,1146,2,45
1327,5431184,2212,12,87
1328,5431598,952,3,67
1329,5430210,757,2,78
1330,5432414,1162,2,46
1331,0124776,41,0,0
1332,5430251,1307,4,60
1333,0116590,521,0,0
1334,5432786,2026,9,79
1335,5434113,2274,14,144
1336,5434931,326,1,9
1337,0136507,1301,0,0
1338,5430061,469,0,0
1339,0119602,262,0,3
1340,0107649,30,0,10
1341,0116368,1768,4,113
1342,0130708,326,0,0
1343,5430145,60,0,38
1344,5435409,1711,14,129
1345,5435466,2022,13,108
1346,5430368,2006,1,21
1347,5430046,2194,4,179
1348,5432828,1771,9,165
1349,5434527,2608,0,54
1350,0109751,737,0,2
1351,0120659,223,0,17
1352,5436282,689,0,45
1353,5530084,39,0,1
1354,5530076,55,0,2
1355,5536503,930,2,118
1356,5530043,113,0,0
1357,5536750,529,1,48
1358,5633748,2112,1,56
1359,5637004,1749,0,73
1360,5630116,1979,0,54
1361,5632021,1061,3,93
1362,5633250,1740,0,115
1363,5630371,125,0,0
1364,5630132,1523,0,25
1365,5634076,602,0,8
1366,5631619,2084,0,92
1367,0120634,296,0,15
1368,5631742,2497,14,140
1369,0125674,653,0,1
1370,5632849,2039,6,176
1371,5634548,2567,9,149
1372,0136804,198,0,0
1373,5630389,2836,9,116
1374,0131698,840,0,20
1375,5634761,2102,6,127
1376,5635776,1580,3,131
1377,5635008,1928,1,125
1378,5630322,1065,0,31
1379,5636188,2001,2,76
1380,5630223,189,0,9
1381,0109900,1896,0,8
1382,5630793,1659,0,18
1383,5630298,241,0,0
1384,5630348,962,0,6
1385,5637822,2050,1,31
1386,5732904,295,0,22
1387,5735154,2271,1,248
1388,0135939,175,0,0
1389,0101162,1639,2,154
1390,5738802,1198,0,201
1391,0113787,69,0,2
1392,5830013,1390,5,257
1393,5835202,1102,3,103
1394,5838305,1135,2,59
1395,5830047,80,0,11
