Name,Ranking,City,School District,Graduation Rate,College Readiness,Enrollment
Canyon High School,#230,Anaheim,Orange Unified School District,96%,44.2,2178
Redlands Senior High School,#231,Redlands,Redlands Unified School District,91%,37.8,2219
Alliance Susan and Eric Smidt Technology High School,#232,Los Angeles,Alliance Susan and Eric Smidt Technology High District,96%,59.0,254
Van Nuys Senior High School,#233,Van Nuys,Los Angeles Unified School District,88%,45.8,2176
Santiago High School,#234,Corona,Corona-Norco Unified School District,98%,39.4,3517
Sonora High School,#235,La Habra,Fullerton Joint Union High,92%,35.1,1707
Adrian Wilcox High School,#236,Santa Clara,Santa Clara Unified School District,94%,51.1,1695
Dozier-Libbey Medical High School,#237,Antioch,Antioch Unified School District,99%,39.2,697
School of Engineering and Sciences,#238,Sacramento,Sacramento City Unified School District,100%,39.5,291
Poway High School,#239,Poway,Poway Unified School District,95%,50.2,2161
Santa Clara High School,#240,Santa Clara,Santa Clara Unified School District,92%,43.9,1732
Gateway High School,#241,San Francisco,Gateway High District,98%,46.6,475
Dos Pueblos Senior High School,#242,Goleta,Santa Barbara Unified School District,96%,37.9,2075
La Costa Canyon High School,#243,Encinitas,San Dieguito Union High,92%,47.5,1768
The O'Farrell Charter School,#244,San Diego,The O'Farrell Charter District,96%,48.2,630
Santa Fe High School,#245,Santa Fe Springs,Whittier Union High,97%,34.3,1880
Clovis West High School,#246,Fresno,Clovis Unified School District,95%,33.3,2162
Village Academy High School at Indian Hill,#247,Pomona,Pomona Unified School District,98%,49.5,302
San Gabriel High School,#248,San Gabriel,Alhambra Unified School District,94%,43.3,1768
Marysville Charter Academy for the Arts,#249,Marysville,Marysville Joint Unified School District,95%,38.8,228
Archie Williams High,#250,San Anselmo,Tamalpais Union High,97%,52.3,1181
Pacific Grove High School,#251,Pacific Grove,Pacific Grove Unified School District,87%,48.4,520
Gahr High School,#252,Cerritos,Abc Unified School District,99%,34.8,1590
Grover Cleveland Charter High School,#253,Reseda,Los Angeles Unified School District,93%,47.6,2784
San Clemente High School,#254,San Clemente,Capistrano Unified School District,97%,42.6,2765
Prospect High School,#255,Saratoga,Campbell Union High,94%,46.7,1492
Galileo High School,#256,San Francisco,San Francisco Unified School District,88%,41.6,1741
Torrance High School,#257,Torrance,Torrance Unified School District,99%,43.3,1980
Cobalt Institute of Math and Science Academy,#258,Victorville,Victor Valley Union High,96%,41.5,710
Saugus High School,#259,Saugus,William S. Hart Union High,98%,39.5,2295
Steele Canyon High School,#260,Spring Valley,Steele Canyon High District,99%,37.2,2147
Ednovate - Esperanza College Prep,#261,East Los Angeles,Ednovate - Esperanza College Prep District,98%,48.3,505
Summit Public School: Tahoma,#262,San Jose,Summit Public School: Tahoma District,94%,50.3,427
STEAM Legacy High School,#263,South Gate,Los Angeles Unified School District,91%,40.9,533
Martin Luther King Jr. High School,#264,Riverside,Riverside Unified School District,96%,35.2,2813
Palm Desert High School,#265,Palm Desert,Desert Sands Unified School District,96%,42.3,2039
Port of Los Angeles High School,#266,San Pedro,Port of Los Angeles High District,92%,29.1,928
Kearny High -- School of Science Connections and Technology,#267,San Diego,San Diego Unified School District,99%,27.9,335
Huntington Beach High School,#268,Huntington Beach,Huntington Beach Union High,97%,37.6,2734
Mission Bay High School,#269,San Diego,San Diego Unified School District,97%,44.9,1166
Encinal Junior/Senior High School,#270,Alameda,Alameda Unified School District,98%,41.5,931
Cosumnes Oaks High School,#271,Elk Grove,Elk Grove Unified School District,98%,37.8,2151
Mission Viejo High School,#272,Mission Viejo,Saddleback Valley Unified School District,94%,32.9,1628
Animo Watts College Preparatory Academy,#273,Los Angeles,Animo Watts College Preparatory Academy District,96%,48.1,541
Westminster High School,#274,Westminster,Huntington Beach Union High,94%,34.1,2543
Pasadena High School,#275,Pasadena,Pasadena Unified School District,94%,37.1,1355
Malibu High School,#276,Malibu,Santa Monica-Malibu Unified School District,96%,56.6,390
Fullerton Union High School,#277,Fullerton,Fullerton Joint Union High,96%,42.1,1848
Making Waves Academy,#278,Richmond,Making Waves Academy District,90%,50.3,520
Foshay Learning Center,#279,Los Angeles,Los Angeles Unified School District,100%,39.6,757
Berkeley High School,#280,Berkeley,Berkeley Unified School District,93%,51.2,3220
Washington High School,#281,Fremont,Fremont Unified School District,92%,41.3,1901
Franklin High School,#282,Elk Grove,Elk Grove Unified School District,99%,41.6,2659
Rise Kohyang High School,#283,Los Angeles,Rise Kohyang High District,91%,35.5,470
Impact Academy of Arts and Technology,#284,Hayward,Impact Academy of Arts & Technology District,97%,43.9,380
Buchanan High School,#285,Clovis,Clovis Unified School District,98%,30.2,2606
Trabuco Hills High School,#286,Mission Viejo,Saddleback Valley Unified School District,95%,44.6,2507
Canyon High School,#287,Canyon Country,William S. Hart Union High,97%,38.2,1966
John F. Kennedy High School (La Palma),#288,La Palma,Anaheim Union High School District,98%,30.7,2024
Helix High School,#289,La Mesa,Helix High District,96%,23.6,2544
Collegiate Charter High of Los Angeles,#290,Los Angeles,Collegiate Charter High of Los Angeles District,80%,56.1,174
Del Oro High School,#291,Loomis,Placer Union High,99%,31.7,1622
Valor Academy High School,#292,North Hills,Valor Academy High District,92%,43.0,491
Camino Nuevo High No. 2,#293,Los Angeles,Camino Nuevo High #2 District,84%,37.7,496
Esperanza High School,#294,Anaheim,Placentia-Yorba Linda Unified School District,96%,34.4,1406
Arroyo High School,#295,El Monte,El Monte Union High,92%,35.1,1698
Petaluma High School,#296,Petaluma,Petaluma Joint Union High,94%,45.6,1253
Balboa High School,#297,San Francisco,San Francisco Unified School District,96%,43.2,1251
Ripon High School,#298,Ripon,Ripon Unified School District,99%,41.1,1048
Segerstrom High School,#299,Santa Ana,Santa Ana Unified School District,98%,41.2,2499
Nova Academy Early College High School,#300,Santa Ana,Nova Academy District,98%,41.2,288
Edison High School,#301,Huntington Beach,Huntington Beach Union High,94%,36.7,2011
Analy High School,#302,Sebastopol,West Sonoma County Union High,98%,36.6,1450
Etiwanda High School,#303,Etiwanda,Chaffey Joint Union High School District,94%,30.4,3540
William S. Hart High School,#304,Newhall,William S. Hart Union High,96%,41.5,1930
Natomas Pacific Pathways Prep,#305,Sacramento,Natomas Unified School District,99%,36.3,623
El Toro High School,#306,Lake Forest,Saddleback Valley Unified School District,91%,43.9,1972
Brea-Olinda High School,#307,Brea,Brea-Olinda Unified School District,94%,44.0,1710
Reedley High School,#308,Reedley,Kings Canyon Joint Unified School District,96%,28.1,1750
San Marin High School,#309,Novato,Novato Unified School District,98%,48.2,1186
Birmingham Community Charter High School,#310,Lake Balboa,Birmingham Community Charter High District,95%,33.7,3090
